text,label
A telecommunication service attribute is a specific characteristic of that service whole values distinguish it from other telecommunication services Particular values are assigned to each attribute when a given telecommunication service is described and defined A list of definitions of attributes and values used for bearer services,0
In this case the mobile station must support a DTM multislot class that allows for more than one uplink timeslot),0
GTP-U Tunnels are used to carry encapsulated T-PDUs and signalling messages between a given pair of GTP-U Tunnel Endpoints,0
Maintenance of PDCP sequence numbers for radio bearers that are configured to support lossless SRNS relocation or lossless DL RLC PDU - CS counter,0
Thus the source port in this context is the source port within the IP packet sent by the UE; the destination address and port are the destination address and port in the IP packets sent by the UE - Rules for MAPCON: Each one of these rules identifies a prioritised list of access technologies / access networks which should be used by the UE when available to route PDN connections to specific APNs,1
During the EAP-AKA authentication the UE becomes aware of the services offered by the trusted WLAN network,1
This annex contains the YANG definitions for the Generic NRM,0
IP-CAN Session Termination listed in this Annex,1
policies allow spectrum licensees to decide the services they will provide and the technologies they will use,1
"All messages between SGSN and MME, between SGSN and BSS, between SGSN and HSS and between SGSN and P-GW (GGSN in explanatory purposes only",0
The S-CSCF shall infer the authentication scheme used by the subscriber from authentication request response by the HSS If the returned authentication scheme is NBA the S-CSCF shall proceed,1
"If the returned authentication scheme is SIP Digest the S-CSCF will learn from the ""integrity-protected"" flag in the subsequently received REGISTER request containing the challenge response whether SIP Digest with or without TLS is used",1
"If the S-CSCF supports NBA but not SIP Digest, the S-CSCF shall send an authentication request to the HSS indicating that the authentication scheme is either NBA or unknown",1
The set of allowed range classes for each Application ID is stored in the ProSe Function Application registration procedure completion by the UE,1
"Upon receipt of the UE_REGISTRATION_RESPONSE message, if the transaction ID contained in the <response-register> element matches the value sent by the UE in an APPLICATION_REGISTRATION_REQUEST message the UE stores the set of allowed range classes for this Application ID and may start the proximity Application registration procedure not accepted by the ProSe",1
An Elementary Procedure is a unit of interaction between the CN (CBC) and the RNC,0
The complete structure is defined in TS 374 Originator SCCP OC,0
This field holds the SCCP calling address to receive the MMS,0
The UE shall start to transmit the UL DPCH to cell 2 less than 160 ms from the beginning of time period T,0
Class 1 bits can tolerate medium BER and Class 2 bits can tolerate high BER,0
"It is assumed that some elements of the H.323 header information, which comprises the IP, UDP and RTP headers, can be compressed",0
The Callback function is called from the S-NAPTR procedure,0
"For each FQDN the S-NAPTR procedure finds procedure try_to_connect (hostname, service_and_protocol_set, port)",1
Use 3GPP procedures to try to connect in turn to all combinations of the service/protocols and IP addresses provided in the input ,1
The following procedure will get the complete candidate list,0
Ei = Radio frame size equalisation Radio frame size equalisation is padding the input bit sequence in order to ensure that the output can be segmented in Fi data segments of same size as performed in the UL,0
"The input bit sequence to the radio frame size equalisation is denoted by, where i is TrCH number and Ei the number of bits",0
Random TLLI is chosen randomly by the MS,1
"This type of reference identity shall not be used by the MS unless it has received the ""E-OTD Measurement Assistance Data for System Information List Element"" from the SMLC for this cell",1
This field indicates the Location Area Code of the reference BTS,2
